MoMo更新,#genre#
湖北武汉黄鹤楼,https://gctxyc.liveplay.myqcloud.com/gc/djyqyl1_1/index.m3u8
湖南邵阳崀山风景名胜区,https://gctxyc.liveplay.myqcloud.com/gc/hkts02_1/index.m3u8

财经凤凰,#genre#
北京财经频道,http://114.243.168.34:8888/rtp/239.3.1.116:8000
CCTV-2财经,http://114.243.168.34:8888/rtp/239.3.1.60:8084
深圳财经生活,http://113.95.132.166:30001/udp/239.77.1.242:5146
CCTV-2财经,http://113.95.132.166:30001/udp/239.77.1.158:5146
凤凰中文HD,http://182.138.203.158:8188/rtp/239.94.2.51:5140
凤凰中文HD,http://182.138.203.158:8188/rtp/239.94.2.52:5140
凤凰资讯HD,http://182.138.203.158:8188/rtp/239.94.2.49:5140
凤凰资讯HD,http://182.138.203.158:8188/rtp/239.94.2.50:5140
东方财经HD,http://182.138.203.158:8188/rtp/239.94.1.59:5140
东方财经,http://182.138.203.158:8188/rtp/239.94.2.236:5140

4K 频道,#genre#
华数爱上4K,http://114.243.168.34:8888/rtp/239.3.1.236:2000
北京IPTV4K超清,http://114.243.168.34:8888/rtp/239.3.1.249:8001
广东卫视4K,http://113.95.132.166:30001/udp/239.77.0.65:5146
广东卫视4K,http://113.95.132.166:30001/udp/239.77.0.66:5146
深圳卫视4K,http://113.95.132.166:30001/udp/239.77.0.67:5146
湖南卫视4K,http://113.95.132.166:30001/udp/239.77.0.56:5146
江苏卫视4K,http://113.95.132.166:30001/udp/239.77.0.57:5146
浙江卫视4K,http://113.95.132.166:30001/udp/239.77.0.58:5146
东方卫视4K,http://113.95.132.166:30001/udp/239.77.0.59:5146
四川卫视4K,http://113.95.132.166:30001/udp/239.77.0.60:5146
山东卫视4K,http://113.95.132.166:30001/udp/239.77.0.61:5146
广东综艺4K,http://113.95.132.166:30001/udp/239.77.0.252:5146
广东4K超高清,http://113.95.132.166:30001/udp/239.77.0.245:5146
广东4K超高清,http://113.95.132.166:30001/udp/239.77.1.237:5146
广东4K超高清,http://113.95.132.166:30001/udp/239.77.0.244:5146
南国都市4K,http://113.95.132.166:30001/udp/239.253.43.99:5146
CCTV-4K超高清,http://113.95.132.166:30001/udp/239.77.0.194:5146
CCTV-4K超高清,http://113.95.132.166:30001/udp/239.77.0.174:5146
CCTV4K,http://182.138.203.158:8188/rtp/239.94.0.20:5140
北京卫视4K,http://182.138.203.158:8188/rtp/239.94.0.111:5140
北京卫视4K,http://182.138.203.158:8188/rtp/239.94.0.112:5140
东方卫视4K,http://182.138.203.158:8188/rtp/239.94.0.119:5140
广东卫视4K,http://182.138.203.158:8188/rtp/239.94.0.114:5140
深圳卫视4K,http://182.138.203.158:8188/rtp/239.94.0.113:5140
湖南卫视4K,http://182.138.203.158:8188/rtp/239.94.0.116:5140
山东卫视4K,http://182.138.203.158:8188/rtp/239.94.0.120:5140
四川卫视4K,http://182.138.203.158:8188/rtp/239.94.0.115:5140
浙江卫视4K,http://182.138.203.158:8188/rtp/239.94.0.118:5140
江苏卫视4K,http://182.138.203.158:8188/rtp/239.94.0.117:5140
欢笑剧场4K,http://182.138.203.158:8188/rtp/239.94.1.176:5140
爱上4K,http://182.138.203.158:8188/rtp/239.94.0.21:5140
4K乐享超清,http://182.138.203.158:8188/rtp/239.94.1.162:5140
4K少儿,http://182.138.203.158:8188/rtp/239.94.1.70:5140
4K纪实,http://182.138.203.158:8188/rtp/239.94.1.69:5140
4K视界,http://182.138.203.158:8188/rtp/239.94.1.60:5140
亲子趣学4k,http://182.138.203.158:8188/rtp/239.94.1.156:5140
天翼高清4K,http://182.138.203.158:8188/rtp/239.94.2.40:5140
天翼高清4K,http://182.138.203.158:8188/rtp/239.94.2.41:5140
绚影4K,http://182.138.203.158:8188/rtp/239.94.1.150:5140
CCTV4K,http://182.138.203.158:8188/rtp/239.94.2.163:5140

北京联通,#genre#
北京卫视,http://114.243.168.34:8888/rtp/239.3.1.241:8000
北京新闻频道,http://114.243.168.34:8888/rtp/239.3.1.159:8000
北京影视频道,http://114.243.168.34:8888/rtp/239.3.1.158:8000
北京文艺频道,http://114.243.168.34:8888/rtp/239.3.1.242:8000
北京财经频道,http://114.243.168.34:8888/rtp/239.3.1.116:8000
北京生活频道,http://114.243.168.34:8888/rtp/239.3.1.117:8000
北京纪实科教,http://114.243.168.34:8888/rtp/239.3.1.115:8000
北京卡酷少儿,http://114.243.168.34:8888/rtp/239.3.1.189:8000
北京体育休闲,http://114.243.168.34:8888/rtp/239.3.1.243:8000
北京国际频道,http://114.243.168.34:8888/rtp/239.3.1.235:8000
CCTV-1综合,http://114.243.168.34:8888/rtp/239.3.1.129:8008
CCTV-2财经,http://114.243.168.34:8888/rtp/239.3.1.60:8084
CCTV-3综艺,http://114.243.168.34:8888/rtp/239.3.1.172:8001
CCTV-4中文国际,http://114.243.168.34:8888/rtp/239.3.1.105:8092
CCTV-5体育,http://114.243.168.34:8888/rtp/239.3.1.173:8001
CCTV-5+体育赛事,http://114.243.168.34:8888/rtp/239.3.1.130:8004
CCTV-6电影,http://114.243.168.34:8888/rtp/239.3.1.174:8001
CCTV-7国防军事,http://114.243.168.34:8888/rtp/239.3.1.61:8104
CCTV-8电视剧,http://114.243.168.34:8888/rtp/239.3.1.175:8001
CCTV-9纪录,http://114.243.168.34:8888/rtp/239.3.1.62:8112
CCTV-10科教,http://114.243.168.34:8888/rtp/239.3.1.63:8116
CCTV-11戏曲,http://114.243.168.34:8888/rtp/239.3.1.152:8120
CCTV-12社会与法,http://114.243.168.34:8888/rtp/239.3.1.64:8124
CCTV-13新闻,http://114.243.168.34:8888/rtp/239.3.1.124:8128
CCTV-14少儿,http://114.243.168.34:8888/rtp/239.3.1.65:8132
CCTV-15音乐,http://114.243.168.34:8888/rtp/239.3.1.153:8136
CCTV-16奥林匹克,http://114.243.168.34:8888/rtp/239.3.1.184:8001
CCTV-17农业农村,http://114.243.168.34:8888/rtp/239.3.1.151:8144
湖南卫视,http://114.243.168.34:8888/rtp/239.3.1.132:8012
东方卫视,http://114.243.168.34:8888/rtp/239.3.1.136:8032
浙江卫视,http://114.243.168.34:8888/rtp/239.3.1.137:8036
江苏卫视,http://114.243.168.34:8888/rtp/239.3.1.135:8028
深圳卫视,http://114.243.168.34:8888/rtp/239.3.1.134:8020
广东卫视,http://114.243.168.34:8888/rtp/239.3.1.142:8048
安徽卫视,http://114.243.168.34:8888/rtp/239.3.1.211:8064
天津卫视,http://114.243.168.34:8888/rtp/239.3.1.141:1234
重庆卫视,http://114.243.168.34:8888/rtp/239.3.1.122:8160
山东卫视,http://114.243.168.34:8888/rtp/239.3.1.209:8052
河北卫视,http://114.243.168.34:8888/rtp/239.3.1.148:8072
辽宁卫视,http://114.243.168.34:8888/rtp/239.3.1.210:8056
湖北卫视,http://114.243.168.34:8888/rtp/239.3.1.138:8044
吉林卫视,http://114.243.168.34:8888/rtp/239.3.1.240:8172
贵州卫视,http://114.243.168.34:8888/rtp/239.3.1.149:8076
东南卫视,http://114.243.168.34:8888/rtp/239.3.1.156:8148
江西卫视,http://114.243.168.34:8888/rtp/239.3.1.123:8164
海南卫视,http://114.243.168.34:8888/rtp/239.3.1.45:8304
黑龙江卫视,http://114.243.168.34:8888/rtp/239.3.1.133:8016
云南卫视,http://114.243.168.34:8888/rtp/239.3.1.26:8108
四川卫视,http://114.243.168.34:8888/rtp/239.3.1.29:8288
宁夏卫视,http://114.243.168.34:8888/rtp/239.3.1.46:8124
山西卫视,http://114.243.168.34:8888/rtp/239.3.1.42:8172
广西卫视,http://114.243.168.34:8888/rtp/239.3.1.39:8300
新疆卫视,http://114.243.168.34:8888/rtp/239.3.1.48:8160
河南卫视,http://114.243.168.34:8888/rtp/239.3.1.27:8128
甘肃卫视,http://114.243.168.34:8888/rtp/239.3.1.49:8188
西藏卫视,http://114.243.168.34:8888/rtp/239.3.1.47:8164
陕西卫视,http://114.243.168.34:8888/rtp/239.3.1.41:8140
青海卫视,http://114.243.168.34:8888/rtp/239.3.1.44:8184
内蒙古卫视,http://114.243.168.34:8888/rtp/239.3.1.43:8176
三沙卫视,http://114.243.168.34:8888/rtp/239.3.1.155:4120
厦门卫视,http://114.243.168.34:8888/rtp/239.3.1.143:4120
兵团卫视,http://114.243.168.34:8888/rtp/239.3.1.144:4120
北京IPTV淘电影,http://114.243.168.34:8888/rtp/239.3.1.250:8001
北京IPTV淘剧场,http://114.243.168.34:8888/rtp/239.3.1.95:8001
北京IPTV淘娱乐,http://114.243.168.34:8888/rtp/239.3.1.100:8001
北京IPTV淘BABY,http://114.243.168.34:8888/rtp/239.3.1.238:8001
北京IPTV萌宠TV,http://114.243.168.34:8888/rtp/239.3.1.102:8001
CCTV-4欧洲,http://114.243.168.34:8888/rtp/239.3.1.213:4220
CCTV-4美洲,http://114.243.168.34:8888/rtp/239.3.1.214:4220
CGTN英语,http://114.243.168.34:8888/rtp/239.3.1.215:4220
CGTN纪录,http://114.243.168.34:8888/rtp/239.3.1.216:4220
CGTN西班牙语,http://114.243.168.34:8888/rtp/239.3.1.217:4220
CGTN法语,http://114.243.168.34:8888/rtp/239.3.1.218:4220
CGTN阿拉伯语,http://114.243.168.34:8888/rtp/239.3.1.219:4220
CGTN俄语,http://114.243.168.34:8888/rtp/239.3.1.220:4220
CETV1,http://114.243.168.34:8888/rtp/239.3.1.57:8152
CETV2,http://114.243.168.34:8888/rtp/239.3.1.54:4120
CETV4,http://114.243.168.34:8888/rtp/239.3.1.56:4120
中国交通,http://114.243.168.34:8888/rtp/239.3.1.188:8001
朝阳融媒,http://114.243.168.34:8888/rtp/239.3.1.163:8001
通州融媒,http://114.243.168.34:8888/rtp/239.3.1.221:8001
房山电视台,http://114.243.168.34:8888/rtp/239.3.1.96:8001
密云电视台,http://114.243.168.34:8888/rtp/239.3.1.154:8001
延庆电视台,http://114.243.168.34:8888/rtp/239.3.1.187:8001
湖南金鹰纪实,http://114.243.168.34:8888/rtp/239.3.1.58:8156
湖南茶频道,http://114.243.168.34:8888/rtp/239.3.1.165:8001
湖南快乐垂钓,http://114.243.168.34:8888/rtp/239.3.1.164:8001
华数星影,http://114.243.168.34:8888/rtp/239.3.1.94:4120
华数动作影院,http://114.243.168.34:8888/rtp/239.3.1.92:4120
华数喜剧影院,http://114.243.168.34:8888/rtp/239.3.1.91:4120
华数家庭影院,http://114.243.168.34:8888/rtp/239.3.1.93:4120
华数精选,http://114.243.168.34:8888/rtp/239.3.1.74:4120
华数经典电影,http://114.243.168.34:8888/rtp/239.3.1.195:9024
华数热播剧场,http://114.243.168.34:8888/rtp/239.3.1.194:9020
华数军旅剧场,http://114.243.168.34:8888/rtp/239.3.1.68:4120
华数城市剧场,http://114.243.168.34:8888/rtp/239.3.1.67:4120
华数武侠剧场,http://114.243.168.34:8888/rtp/239.3.1.90:4120
华数魅力时尚,http://114.243.168.34:8888/rtp/239.3.1.196:9012
古装剧场,http://114.243.168.34:8888/rtp/239.3.1.69:4120
华数少儿动画,http://114.243.168.34:8888/rtp/239.3.1.199:9000
华数动画,http://114.243.168.34:8888/rtp/239.3.1.80:4120
金鹰卡通,http://114.243.168.34:8888/rtp/239.3.1.51:9252
嘉佳卡通,http://114.243.168.34:8888/rtp/239.3.1.147:9268
IPTV地理,http://114.243.168.34:8888/rtp/239.3.1.71:4120
IPTV10解密,http://114.243.168.34:8888/rtp/239.3.1.75:4120
IPTV7军事,http://114.243.168.34:8888/rtp/239.3.1.76:4120
IPTV台球,http://114.243.168.34:8888/rtp/239.3.1.85:4120
IPTV国学,http://114.243.168.34:8888/rtp/239.3.1.77:4120
IPTV墨宝,http://114.243.168.34:8888/rtp/239.3.1.83:4120
IPTV好学生,http://114.243.168.34:8888/rtp/239.3.1.81:4120
山东教育卫视,http://114.243.168.34:8888/rtp/239.3.1.52:4120
IPTV11戏曲,http://114.243.168.34:8888/rtp/239.3.1.78:4120
IPTV收视指南,http://114.243.168.34:8888/rtp/239.3.1.193:8012
IPTV14早教,http://114.243.168.34:8888/rtp/239.3.1.79:4120
IPTV武术,http://114.243.168.34:8888/rtp/239.3.1.87:4120
IPTV爱生活,http://114.243.168.34:8888/rtp/239.3.1.86:4120
IPTV美人,http://114.243.168.34:8888/rtp/239.3.1.73:4120
IPTV美妆,http://114.243.168.34:8888/rtp/239.3.1.72:4120
IPTV足球,http://114.243.168.34:8888/rtp/239.3.1.89:4120
IPTV鉴赏,http://114.243.168.34:8888/rtp/239.3.1.82:4120
IPTV15音乐现场,http://114.243.168.34:8888/rtp/239.3.1.70:4120
光影,http://114.243.168.34:8888/rtp/239.3.1.84:4120
睛彩竞技,http://114.243.168.34:8888/rtp/239.3.1.125:8001
睛彩篮球,http://114.243.168.34:8888/rtp/239.3.1.126:8001
睛彩羽毛球,http://114.243.168.34:8888/rtp/239.3.1.127:8001
睛彩广场舞,http://114.243.168.34:8888/rtp/239.3.1.128:8001

广东电信,#genre#
广东卫视,http://113.95.132.166:30001/udp/239.77.1.19:5146
广东卫视,http://113.95.132.166:30001/udp/239.77.1.152:5146
广东卫视,http://113.95.132.166:30001/udp/239.77.0.166:5146
广东珠江频道,http://113.95.132.166:30001/udp/239.77.0.1:5146
广东珠江频道,http://113.95.132.166:30001/udp/239.77.0.114:5146
广东新闻频道,http://113.95.132.166:30001/udp/239.77.0.173:5146
广东民生频道,http://113.95.132.166:30001/udp/239.77.0.225:5146
广东体育频道,http://113.95.132.166:30001/udp/239.77.0.112:5146
广东体育频道,http://113.95.132.166:30001/udp/239.77.0.168:5146
广东经济科教,http://113.95.132.166:30001/udp/239.77.0.85:5146
广东经济科教,http://113.95.132.166:30001/udp/239.77.0.167:5146
广东大湾区卫视,http://113.95.132.166:30001/udp/239.77.0.215:5146
广东影视频道,http://113.95.132.166:30001/udp/239.77.0.217:5146
广东少儿频道,http://113.95.132.166:30001/udp/239.77.0.250:5146
广东嘉佳卡通,http://113.95.132.166:30001/udp/239.77.0.179:5146
广州综合频道,http://113.95.132.166:30001/udp/239.253.43.71:5146
广州新闻频道,http://113.95.132.166:30001/udp/239.253.43.72:5146
广州影视频道,http://113.95.132.166:30001/udp/239.253.43.73:5146
广州法治频道,http://113.95.132.166:30001/udp/239.253.43.74:5146
深圳卫视,http://113.95.132.166:30001/udp/239.77.1.3:5146
深圳卫视,http://113.95.132.166:30001/udp/239.77.0.130:5146
深圳都市频道,http://113.95.132.166:30001/udp/239.77.1.176:5146
深圳电视剧频道,http://113.95.132.166:30001/udp/239.77.1.177:5146
深圳财经生活,http://113.95.132.166:30001/udp/239.77.1.242:5146
深圳体育健康,http://113.95.132.166:30001/udp/239.77.1.128:5146
深圳少儿频道,http://113.95.132.166:30001/udp/239.77.1.244:5146
宝安频道,http://113.95.132.166:30001/udp/239.77.1.67:5146
深圳龙岗频道,http://113.95.132.166:30001/udp/239.77.1.223:5146
佛山公共频道,http://113.95.132.166:30001/udp/239.253.43.53:5146
佛山南海频道,http://113.95.132.166:30001/udp/239.253.43.54:5146
佛山顺德频道,http://113.95.132.166:30001/udp/239.253.43.55:5146
佛山影视频道,http://113.95.132.166:30001/udp/239.253.43.56:5146
佛山综合频道,http://113.95.132.166:30001/udp/239.253.43.57:5146
东莞新闻综合,http://113.95.132.166:30001/udp/239.253.43.104:5146
东莞生活资讯,http://113.95.132.166:30001/udp/239.253.43.105:5146
韶关新闻综合,http://113.95.132.166:30001/udp/239.77.0.117:5146
湛江新闻综合,http://113.95.132.166:30001/udp/239.77.0.141:5146
湛江公共频道,http://113.95.132.166:30001/udp/239.77.0.140:5146
揭阳综合频道,http://113.95.132.166:30001/udp/239.77.0.229:5146
揭阳生活频道,http://113.95.132.166:30001/udp/239.77.0.251:5146
汕尾新闻综合,http://113.95.132.166:30001/udp/239.77.0.25:5146
汕尾文化生活,http://113.95.132.166:30001/udp/239.77.0.187:5146
江门综合频道,http://113.95.132.166:30001/udp/239.77.0.201:5146
江门侨乡生活,http://113.95.132.166:30001/udp/239.77.0.202:5146
潮州综合频道,http://113.95.132.166:30001/udp/239.253.43.70:5146
潮州民生频道,http://113.95.132.166:30001/udp/239.253.43.75:5146
HZTV-1,http://113.95.132.166:30001/udp/239.77.1.232:5146
HZTV-2,http://113.95.132.166:30001/udp/239.77.1.233:5146
珠海-1,http://113.95.132.166:30001/udp/239.77.0.155:5146
肇庆综合频道,http://113.95.132.166:30001/udp/239.253.43.1:5146
肇庆生活服务,http://113.95.132.166:30001/udp/239.253.43.2:5146
河源综合频道,http://113.95.132.166:30001/udp/239.253.43.213:5146
河源公共频道,http://113.95.132.166:30001/udp/239.253.43.214:5146
清远新闻综合,http://113.95.132.166:30001/udp/239.253.43.33:5146
清远文旅生活,http://113.95.132.166:30001/udp/239.253.43.34:5146
云浮综合频道,http://113.95.132.166:30001/udp/239.77.0.253:5146
云浮文旅频道,http://113.95.132.166:30001/udp/239.77.0.254:5146
茂名综合频道,http://113.95.132.166:30001/udp/239.77.0.206:5146
茂名文化生活,http://113.95.132.166:30001/udp/239.77.0.207:5146
汕头综合频道,http://113.95.132.166:30001/udp/239.253.43.45:5146
汕头经济生活,http://113.95.132.166:30001/udp/239.253.43.46:5146
中山综合频道,http://113.95.132.166:30001/udp/239.253.43.62:5146
香山文化频道,http://113.95.132.166:30001/udp/239.253.43.63:5146
CCTV-1综合,http://113.95.132.166:30001/udp/239.77.1.144:5146
CCTV-2财经,http://113.95.132.166:30001/udp/239.77.1.158:5146
CCTV-3综艺,http://113.95.132.166:30001/udp/239.77.0.169:5146
CCTV-4中文国际,http://113.95.132.166:30001/udp/239.77.1.163:5146
CCTV-5体育,http://113.95.132.166:30001/udp/239.77.0.170:5146
CCTV-5+体育赛事,http://113.95.132.166:30001/udp/239.77.0.87:5146
CCTV-5+体育赛事,http://113.95.132.166:30001/udp/239.77.1.31:5146
CCTV-6电影,http://113.95.132.166:30001/udp/239.77.0.171:5146
CCTV-7国防军事,http://113.95.132.166:30001/udp/239.77.0.138:5146
CCTV-8电视剧,http://113.95.132.166:30001/udp/239.77.0.172:5146
CCTV-9纪录,http://113.95.132.166:30001/udp/239.77.0.135:5146
CCTV-10科教,http://113.95.132.166:30001/udp/239.77.0.134:5146
CCTV-11戏曲,http://113.95.132.166:30001/udp/239.77.1.238:5146
CCTV-12社会与法,http://113.95.132.166:30001/udp/239.77.0.136:5146
CCTV-13新闻,http://113.95.132.166:30001/udp/239.253.43.196:5146
CCTV-14少儿,http://113.95.132.166:30001/udp/239.77.1.161:5146
CCTV-15音乐,http://113.95.132.166:30001/udp/239.77.1.239:5146
CCTV-16奥林匹克,http://113.95.132.166:30001/udp/239.77.0.165:5146
CCTV-17农业农村,http://113.95.132.166:30001/udp/239.77.1.121:5146
CCTV-兵器科技,http://113.95.132.166:30001/udp/239.253.43.9:5146
CCTV-第一剧场,http://113.95.132.166:30001/udp/239.253.43.15:5146
CCTV-电视指南,http://113.95.132.166:30001/udp/239.253.43.10:5146
CCTV-风云剧场,http://113.95.132.166:30001/udp/239.253.43.16:5146
CCTV-风云音乐,http://113.95.132.166:30001/udp/239.253.43.6:5146
CCTV-风云足球,http://113.95.132.166:30001/udp/239.253.43.14:5146
CCTV-高尔夫·网球,http://113.95.132.166:30001/udp/239.253.43.12:5146
CCTV-怀旧剧场,http://113.95.132.166:30001/udp/239.253.43.5:5146
CCTV-女性时尚,http://113.95.132.166:30001/udp/239.253.43.8:5146
CCTV-世界地理,http://113.95.132.166:30001/udp/239.253.43.7:5146
CCTV-央视台球,http://113.95.132.166:30001/udp/239.253.43.11:5146
CCTV-文化精品,http://113.95.132.166:30001/udp/239.253.43.13:5146
湖南卫视,http://113.95.132.166:30001/udp/239.77.1.5:5146
浙江卫视,http://113.95.132.166:30001/udp/239.77.1.33:5146
江苏卫视,http://113.95.132.166:30001/udp/239.77.1.18:5146
东方卫视,http://113.95.132.166:30001/udp/239.77.1.218:5146
安徽卫视,http://113.95.132.166:30001/udp/239.77.1.92:5146
北京卫视,http://113.95.132.166:30001/udp/239.77.1.4:5146
北京卫视,http://113.95.132.166:30001/udp/239.77.1.151:5146
天津卫视,http://113.95.132.166:30001/udp/239.77.1.141:5146
天津卫视,http://113.95.132.166:30001/udp/239.77.1.182:5146
天津卫视,http://113.95.132.166:30001/udp/239.77.0.131:5146
山东卫视,http://113.95.132.166:30001/udp/239.77.1.142:5146
江西卫视,http://113.95.132.166:30001/udp/239.77.1.219:5146
湖北卫视,http://113.95.132.166:30001/udp/239.77.0.128:5146
辽宁卫视,http://113.95.132.166:30001/udp/239.77.1.103:5146
黑龙江卫视,http://113.95.132.166:30001/udp/239.77.0.124:5146
贵州卫视,http://113.95.132.166:30001/udp/239.77.1.221:5146
四川卫视,http://113.95.132.166:30001/udp/239.77.1.215:5146
河南卫视,http://113.95.132.166:30001/udp/239.77.1.229:5146
云南卫视,http://113.95.132.166:30001/udp/239.253.43.37:5146
重庆卫视,http://113.95.132.166:30001/udp/239.77.1.162:5146
河北卫视,http://113.95.132.166:30001/udp/239.77.1.214:5146
东南卫视,http://113.95.132.166:30001/udp/239.77.1.104:5146
甘肃卫视,http://113.95.132.166:30001/udp/239.77.0.189:5146
广西卫视,http://113.95.132.166:30001/udp/239.253.43.36:5146
吉林卫视,http://113.95.132.166:30001/udp/239.77.1.111:5146
青海卫视,http://113.95.132.166:30001/udp/239.253.43.125:5146
三沙卫视,http://113.95.132.166:30001/udp/239.253.43.113:5146
CETV1,http://113.95.132.166:30001/udp/239.77.1.222:5146
CETV4,http://113.95.132.166:30001/udp/239.253.43.40:5146
CETV早期教育,http://113.95.132.166:30001/udp/239.77.0.180:5146
CGTN纪录,http://113.95.132.166:30001/udp/239.253.43.122:5146
CGTN英语,http://113.95.132.166:30001/udp/239.77.0.199:5146
CGTN西班牙语,http://113.95.132.166:30001/udp/239.77.0.221:5146
CGTN法语,http://113.95.132.166:30001/udp/239.77.0.228:5146
CGTN阿拉伯语,http://113.95.132.166:30001/udp/239.253.43.200:5146
CGTN俄语,http://113.95.132.166:30001/udp/239.253.43.201:5146
睛彩篮球,http://113.95.132.166:30001/udp/239.77.1.21:5146
睛彩青少,http://113.95.132.166:30001/udp/239.77.1.22:5146

四川电信,#genre#
CCTV1HD,http://182.138.203.158:8188/rtp/239.94.0.1:5140
CCTV1HD,http://182.138.203.158:8188/rtp/239.94.2.34:5140
CCTV1HD,http://182.138.203.158:8188/rtp/239.94.1.18:5140
CCTV1HD,http://182.138.203.158:8188/rtp/239.94.1.151:5140
CCTV1HD,http://182.138.203.158:8188/rtp/239.94.0.31:5140
CCTV1HD,http://182.138.203.158:8188/rtp/239.94.2.69:5140
CCTV2HD,http://182.138.203.158:8188/rtp/239.94.2.70:5140
CCTV2HD,http://182.138.203.158:8188/rtp/239.94.0.2:5140
CCTV2HD,http://182.138.203.158:8188/rtp/239.94.2.35:5140
CCTV3HD,http://182.138.203.158:8188/rtp/239.94.0.32:5140
CCTV3HD,http://182.138.203.158:8188/rtp/239.94.0.3:5140
CCTV4HD,http://182.138.203.158:8188/rtp/239.94.0.4:5140
CCTV5HD,http://182.138.203.158:8188/rtp/239.94.0.33:5140
CCTV5HD,http://182.138.203.158:8188/rtp/239.94.2.30:5140
CCTV5HD,http://182.138.203.158:8188/rtp/239.94.0.5:5140
CCTV5+HD,http://182.138.203.158:8188/rtp/239.94.0.19:5140
CCTV6HD,http://182.138.203.158:8188/rtp/239.94.0.34:5140
CCTV7HD,http://182.138.203.158:8188/rtp/239.94.0.7:5140
CCTV8HD,http://182.138.203.158:8188/rtp/239.94.0.8:5140
CCTV8HD,http://182.138.203.158:8188/rtp/239.94.0.35:5140
CCTV8HD,http://182.138.203.158:8188/rtp/239.94.2.29:5140
CCTV9HD,http://182.138.203.158:8188/rtp/239.94.2.32:5140
CCTV9HD,http://182.138.203.158:8188/rtp/239.94.0.9:5140
CCTV10HD,http://182.138.203.158:8188/rtp/239.94.0.10:5140
CCTV10HD,http://182.138.203.158:8188/rtp/239.94.2.31:5140
CCTV11HD,http://182.138.203.158:8188/rtp/239.94.0.11:5140
